image_id,filename,wall_visible,room,direction,gt_mm,gt_adj_mm,f_wide_geocalib,f_estimated_depthpro,D_A_fwide_mm,err_A_pct,D_B_none_mm,f_B_estimated,err_B_pct,D_C_800_mm,err_C_pct,status,note
001,올림픽파크포레온_202동27층_방1.png,both_clear,작은침실(좌),좌우,3000,2840,432.3,504.3,3533,24.4,3582,504.3,26.1,3603,26.9,ok,벽중심선 기준
002,올림픽파크포레온_202동27층_방2.png,both_clear,작은침실(우),좌우,2700,2540,467.4,496.9,2792,9.9,2801,496.9,10.3,2758,8.6,ok,벽중심선 기준
003,올림픽파크포레온_116동고층_거실.png,both_clear,거실,좌우,4500,4340,436.0,549.9,5150,18.7,5152,549.9,18.7,5172,19.2,ok,벽중심선 기준
004,올림픽파크포레온_116동고층_큰침실.png,both_clear,안방,좌우,3600,3440,451.0,348.4,4457,29.6,3783,348.4,10.0,5582,62.3,ok,발코니유리 주의
005,올림픽파크포레온_321동고층_62_24__39_95__거실1방향.png,one_unclear,거실,앞뒤,3100,2940,427.8,663.8,2293,22.0,2299,663.8,21.8,2264,23.0,ok,벽 끝에만 보임
006,올림픽파크포레온_321동고층_62_24__39_95__거실2방향.png,one_unclear,거실,앞뒤,3100,2940,454.2,678.0,2247,23.6,2202,678.0,25.1,2245,23.6,ok,거실1과 유사
007,올림픽파크포레온_321동고층_62_24__39_95__거실3방향.png,one_unclear,거실,앞뒤,3100,2940,401.3,622.8,2105,28.4,2182,622.8,25.8,2111,28.2,ok,거실1과 유사
008,올림픽파크포레온_424동고층_거실.png,one_unclear,거실,좌우,4500,4340,398.0,455.8,4823,11.1,5170,455.8,19.1,6236,43.7,ok,"코너 촬영, 주방+냉장고 가림"
009,올림픽파크포레온_424동고층_큰침실.png,both_clear,안방,좌우,3600,3440,415.8,474.7,4122,19.8,4220,474.7,22.7,4441,29.1,ok,발코니유리 앞뒤방향
010,올림픽파크포레온_411동고층_거실1방향.png,both_clear,거실,좌우,5400,5240,452.2,699.9,4301,17.9,4317,699.9,17.6,4290,18.1,ok,"창문 정면, 우측 대리석 벽"
011,올림픽파크포레온_411동고층_거실2방향.png,both_clear,거실,좌우,5400,5240,384.6,667.6,3649,30.4,3688,667.6,29.6,3668,30.0,ok,"복도 방향, 좌측 대리석 벽"
