image_id,filename,wall_visible,room,direction,gt_mm,gt_adj_mm,f_wide,D_wide_mm,D_corr_mm,ER,error_wide_mm,error_corr_mm,error_wide_pct,error_corr_pct,status,note
001,올림픽파크포레온_202동27층_방1.png,both_clear,작은침실(좌),좌우,3000,2840,432.3,3533,3528,1.0015,693,688,24.4,24.2,ok,벽중심선 기준
002,올림픽파크포레온_202동27층_방2.png,both_clear,작은침실(우),좌우,2700,2540,467.4,2792,2792,1.0,252,252,9.9,9.9,ok,벽중심선 기준
003,올림픽파크포레온_116동고층_거실.png,both_clear,거실,좌우,4500,4340,436.0,5150,5161,0.9978,810,821,18.7,18.9,ok,벽중심선 기준
004,올림픽파크포레온_116동고층_큰침실.png,both_clear,안방,좌우,3600,3440,451.0,4457,4445,1.0027,1017,1005,29.6,29.2,ok,발코니유리 주의
005,올림픽파크포레온_321동고층_62_24__39_95__거실1방향.png,one_unclear,거실,앞뒤,3100,2940,427.8,2293,2295,0.9993,647,645,22.0,21.9,ok,벽 끝에만 보임
006,올림픽파크포레온_321동고층_62_24__39_95__거실2방향.png,one_unclear,거실,앞뒤,3100,2940,454.2,2247,2240,1.0029,693,700,23.6,23.8,ok,거실1과 유사
007,올림픽파크포레온_321동고층_62_24__39_95__거실3방향.png,one_unclear,거실,앞뒤,3100,2940,401.3,2105,2121,0.9925,835,819,28.4,27.9,ok,거실1과 유사
008,올림픽파크포레온_424동고층_거실.png,one_unclear,거실,좌우,4500,4340,398.0,4823,4830,0.9986,483,490,11.1,11.3,ok,"코너 촬영, 주방+냉장고 가림"
009,올림픽파크포레온_424동고층_큰침실.png,both_clear,안방,좌우,3600,3440,415.8,4122,4160,0.9907,682,720,19.8,20.9,ok,발코니유리 앞뒤방향
010,올림픽파크포레온_411동고층_거실1방향.png,both_clear,거실,좌우,5400,5240,452.2,4301,4292,1.0021,939,948,17.9,18.1,ok,"창문 정면, 우측 대리석 벽"
011,올림픽파크포레온_411동고층_거실2방향.png,both_clear,거실,좌우,5400,5240,384.6,3649,3660,0.9969,1591,1580,30.4,30.2,ok,"복도 방향, 좌측 대리석 벽"
012,올림픽파크포레온_420동고층_85_28__59_99__화장실방.png,both_clear,침실(발코니),좌우,3300,3140,446.1,4554,49,91.7332,1414,3091,45.0,98.4,ok,발코니문 정면
013,올림픽파크포레온_420동고층_85_28__59_99__거실.png,both_clear,거실,좌우,4000,3840,603.0,3800,3792,1.0023,40,48,1.0,1.2,ok,좌측 패널 벽
014,올림픽파크포레온_420동고층_85_28__59_99__2700작은침실.png,both_clear,작은침실,좌우,2700,2540,441.9,78,26,2.9143,2462,2514,96.9,99.0,ok,"좌측 창문, 좁은 방"
015,올림픽파크포레온_201동고층__62_24__39_95__거실1방향.png,both_clear,거실,좌우,3100,2940,424.7,3351,3322,1.0089,411,382,14.0,13.0,ok,"복도 방향, 우측 패널 벽"
016,올림픽파크포레온_201동고층__62_24__39_95__거실2방향.png,both_clear,거실,좌우,3100,2940,389.2,3571,3531,1.0114,631,591,21.5,20.1,ok,"발코니 방향, 좌측 패널 벽"
017,올림픽파크포레온_201동고층__62_24__39_95__왼쪽큰침실.png,both_clear,침실(좌),앞뒤,2700,2540,369.3,2893,2787,1.0381,353,247,13.9,9.7,ok,빌트인 붙박이장 열린 상태
018,올림픽파크포레온_411동고층_거실.png,both_clear,거실,좌우,5400,5240,392.9,,,,,,,,ransac_fail,소파·TV장·크리스마스트리
019,올림픽파크포레온_320동중층_62_39__39_98__거실.png,one_unclear,거실,좌우,3000,2840,383.4,3447,3448,0.9997,607,608,21.4,21.4,ok,"코너 촬영, 우측 흰 벽"
020,올림픽파크포레온_407동중층_113_45__84_98__거실.png,both_clear,거실,좌우,4500,4340,755.6,4381,4412,0.9929,41,72,0.9,1.7,ok,"창문 정면, 좌측 패널 벽"
021,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실1방향.png,both_clear,거실,좌우,5400,5240,695.1,4442,4418,1.0053,798,822,15.2,15.7,ok,"창문 정면, 좌측 대리석 벽, 공사자재"
022,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실1방향확대.png,both_clear,거실,좌우,5400,5240,796.6,5429,5533,0.9813,189,293,3.6,5.6,ok,021 확대샷
023,올림픽파크포레온_411동고층_다른이미지__165_46__134_98__거실2방향.png,both_clear,거실,좌우,5400,5240,622.8,5162,5205,0.9916,78,35,1.5,0.7,ok,"주방 방향, 우측 대리석 벽"
