id,source,name,gt_mm,gt_adj_mm,measured_mm,error_pct,status,wall_visible,obstacle,room,note,classification,folder
001,기존,올림픽파크포레온_202동27층_방1.png,3000,2840,3533,24.4,ok,both_clear,yes,작은침실(좌),벽중심선 기준,rest,03_장애물있음
002,기존,올림픽파크포레온_202동27층_방2.png,2700,2540,2792,9.9,ok,both_clear,none,작은침실(우),벽중심선 기준,final_suspect,02_의심스러운
003,기존,올림픽파크포레온_116동고층_거실.png,4500,4340,5150,18.7,ok,both_clear,none,거실,벽중심선 기준,final_clean,01_좋은조건
004,기존,올림픽파크포레온_116동고층_큰침실.png,3600,3440,4457,29.6,ok,one_unclear,none,안방,발코니유리 주의,rest,05_나머지
005,기존,올림픽파크포레온_321동고층_62_24__39_95__거실1방향.png,3100,2940,2293,22.0,ok,one_unclear,yes,거실,벽 끝에만 보임+나무패널 가까이,rest,03_장애물있음
006,기존,올림픽파크포레온_321동고층_62_24__39_95__거실2방향.png,3100,2940,2247,23.6,ok,one_unclear,yes,거실,거실1과 유사+나무패널 가까이,rest,03_장애물있음
007,기존,올림픽파크포레온_321동고층_62_24__39_95__거실3방향.png,3100,2940,2105,28.4,ok,one_unclear,yes,거실,거실1과 유사+나무패널 가까이,rest,03_장애물있음
008,기존,올림픽파크포레온_424동고층_거실.png,4500,4340,4823,11.1,ok,one_unclear,none,거실,"코너 촬영, 주방+냉장고 가림",rest,05_나머지
009,기존,올림픽파크포레온_424동고층_큰침실.png,3600,3440,4122,19.8,ok,both_clear,none,안방,발코니유리 앞뒤방향,rest,05_나머지
010,기존,올림픽파크포레온_411동고층_거실1방향.png,5400,5240,4301,17.9,ok,both_clear,none,거실,"창문 정면, 우측 대리석 벽",final_clean,01_좋은조건
011,기존,올림픽파크포레온_411동고층_거실2방향.png,5400,5240,3649,30.4,ok,both_clear,yes,거실,"복도 방향, 좌측 대리석 벽",rest,03_장애물있음
012,기존,올림픽파크포레온_420동고층_85_28__59_99__화장실방.png,3300,3140,4554,45.0,ok,one_unclear,none,침실(발코니),발코니문 정면,rest,05_나머지
013,기존,올림픽파크포레온_420동고층_85_28__59_99__거실.png,4000,3840,3800,1.0,ok,both_clear,none,거실,좌측 패널 벽,final_clean,01_좋은조건
014,기존,올림픽파크포레온_420동고층_85_28__59_99__2700작은침실.p,2700,2540,78,96.9,ok,one_unclear,none,작은침실,"좌측 창문, 좁은 방",failed,04_실패_이상
015,기존,올림픽파크포레온_201동고층__62_24__39_95__거실1방향.png,3100,2940,3351,14.0,ok,both_clear,none,거실,"복도 방향, 우측 패널 벽",rest,05_나머지
